"","p_val","avg_logFC","pct_in_cluster","pct_out_cluster","p_val_adj","avg_UMI_in_cluster","avg_UMI_out_cluster","cluster","gene"
"1",1.43e-52,1.548989506,1,0.809,4.67e-48,53.28010041,17.55018897,0,"KRT19"
"2",1.61e-46,1.353735623,0.994,0.793,5.26e-42,34.60539786,12.93159415,0,"S100P"
"3",2.57e-44,1.295721185,0.989,0.564,8.43e-40,12.92845556,4.673512554,0,"AQP3"
"4",3.8e-43,1.444514901,0.994,0.555,1.24e-38,19.56068177,6.55431686,0,"KRT17"
"5",3.86e-42,1.54004948,0.989,0.732,1.26e-37,33.52680829,10.87285996,0,"CLDN4"
"6",1.12e-29,1.558557233,0.921,0.522,3.65e-25,16.08815694,4.80126557,0,"KRT13"
"7",2.29e-29,1.648202259,0.944,0.605,7.51e-25,23.53955929,6.829038703,0,"PSCA"
"8",3.56e-21,1.395939877,0.927,0.669,1.17e-16,56.578656,20.87971942,0,"SPINK1"
"9",1.3e-20,1.374654556,0.657,0.246,4.27e-16,4.332955448,1.056627793,0,"DHRS2"
"10",3.67e-13,1.331124997,0.691,0.445,1.2e-08,8.228303329,2.667864716,0,"GDF15"
"11",4.54e-51,-3.630179133,0.382,0.685,1.49e-46,0.576978891,18.52624295,0,"VIM"
"12",3.13e-42,-3.685955619,0.708,0.829,1.02e-37,1.891176175,36.20983639,0,"LGALS1"
"13",1.29e-40,-3.899828995,0.506,0.771,4.22e-36,0.74269056,25.01272107,0,"SPARC"
"14",1.11e-27,-4.258909637,0.567,0.727,3.62e-23,1.31877174,43.39331212,0,"COL1A2"
"15",5.84e-27,-4.152721135,0.567,0.727,1.91e-22,1.124350402,36.78503062,0,"COL3A1"
"16",1.99e-26,-4.749947338,0.669,0.735,6.51e-22,1.24308922,59.3563787,0,"COL1A1"
"17",6.29e-23,-3.450964917,0.416,0.605,2.06e-18,0.614356582,16.65401221,0,"TAGLN"
"18",3.7e-21,-3.777047495,0.573,0.718,1.21e-16,1.187531494,28.98878741,0,"LUM"
"19",1.67e-14,-3.785823979,0.534,0.63,5.46e-10,0.93188259,25.64571047,0,"MMP11"
"20",0.002118151,-3.457659071,0.107,0.055,1,0.082167052,10.88922106,0,"TPSAB1"
"21",8.12e-09,0.693805125,0.99,0.961,0.000265679,15.77363368,9.369814802,1,"MT-ND5"
"22",2.98e-06,0.823859472,0.804,0.637,0.097508456,10.54724038,5.523366717,1,"ELF3"
"23",3.78e-06,1.136222255,0.637,0.678,0.123722482,7.240000473,2.748782605,1,"DNAJB1"
"24",6.69e-06,0.609654281,0.99,0.977,0.218988549,70.86276474,46.0955308,1,"MT-ND3"
"25",8.26e-06,0.76710475,0.343,0.212,0.27033801,1.203154473,0.294563652,1,"C5orf45"
"26",1.02e-05,0.652371035,0.51,0.338,0.332971148,1.821981416,0.795440013,1,"IFI44L"
"27",1.41e-05,0.838489703,0.755,0.694,0.461737082,8.110242397,4.094708973,1,"ID1"
"28",0.000463671,1.15548223,0.667,0.674,1,7.059684551,2.618122224,1,"ISG15"
"29",0.001473146,0.970256734,0.676,0.674,1,15.82745997,7.588991754,1,"HSPA1A"
"30",0.002506146,0.763887114,0.51,0.47,1,5.800037096,3.004592663,1,"HSPA1B"
"31",1.55e-06,-1.653364715,0.392,0.63,0.050775971,3.966345055,14.62245433,1,"VIM"
"32",3.18e-06,-1.289088129,0.137,0.308,0.103950461,0.190319681,1.908826432,1,"A2M"
"33",4.86e-06,-1.242547215,0.069,0.267,0.159212587,0.092113605,1.584114781,1,"SRGN"
"34",3.46e-05,-1.161666798,0.02,0.158,1,0.028514295,1.300948421,1,"RAMP2"
"35",0.000116842,-1.37031005,0.137,0.329,1,0.773849651,3.585864681,1,"COL4A1"
"36",0.000226211,-1.297539213,0.833,0.934,1,10.64964688,27.63590977,1,"IGFBP7"
"37",0.000437864,-1.487910761,0.059,0.171,1,0.063992116,1.984311688,1,"VWF"
"38",0.000470758,-1.069419076,0.176,0.34,1,0.311448197,1.75218967,1,"ENG"
"39",0.002427415,-1.305534371,0.108,0.233,1,0.511978028,2.737235678,1,"SPARCL1"
"40",0.0053318,-1.165494076,0.118,0.151,1,0.344893883,2.016731756,1,"NDUFA4L2"
"41",2.21e-09,1.81822477,0.214,0.019,7.22e-05,2.584701086,0.016512569,2,"AKR1B10"
"42",8.51e-08,1.486538891,0.429,0.084,0.002786859,2.08272967,0.100126552,2,"PTTG1"
"43",1.15e-06,1.460296853,0.286,0.16,0.037811063,2.477156754,0.263662549,2,"NQO1"
"44",1.49e-05,2.893595096,0.214,0.046,0.487107016,7.93584224,0.202476434,2,"KRT6A"
"45",2.36e-05,2.600442782,0.286,0.12,0.771149249,6.137456265,0.176879995,2,"DEFB1"
"46",0.000140367,2.034726465,0.357,0.192,1,5.012087671,0.467275298,2,"KRT5"
"47",0.000226488,2.733068985,0.357,0.127,1,7.75293512,0.316491213,2,"KRT16"
"48",0.000476956,2.259282058,0.357,0.177,1,8.964681669,1.081381841,2,"S100A9"
"49",0.002126665,1.498873346,0.929,0.838,1,62.27212327,21.38755016,2,"S100A2"
"50",0.007506391,1.618130705,0.143,0.011,1,2.102623076,0.010702033,2,"CRH"
"51",0.001058248,-0.762121865,0.429,0.669,1,0.297005494,1.199699507,2,"LEPROT"
"52",0.001062767,-1.557199308,0,0.344,1,0,1.942820014,2,"PCOLCE"
"53",0.001364014,-1.556552136,0,0.333,1,0,1.941500204,2,"COL5A1"
"54",0.004330957,-1.556715393,0.429,0.49,1,0.501099844,3.415985186,2,"SELM"
"55",0.006132274,-0.909801346,0,0.26,1,0,0.878786779,2,"CRISPLD2"
"56",0.006615296,-1.230353772,0,0.257,1,0,1.346245164,2,"MEG3"
"57",0.007985779,-0.69111124,0,0.247,1,0,0.614526633,2,"ECM1"
"58",0.007985779,-0.918675953,0,0.247,1,0,0.890379583,2,"TMEM176B"
"59",0.008933286,-0.90789237,0,0.241,1,0,0.87630241,2,"PDGFRB"
"60",0.009272207,-0.806356806,0,0.24,1,0,0.748789696,2,"EMILIN1"
"61",7.55e-16,1.231828487,0.869,0.754,2.47e-11,5.703242887,1.85408979,3,"PGK1"
"62",1.91e-14,1.483409328,0.639,0.384,6.25e-10,3.888029069,0.748167638,3,"ERO1L"
"63",9.75e-14,1.308241971,0.787,0.578,3.19e-09,5.499776163,1.62469187,3,"NDRG1"
"64",5.23e-11,1.154938034,0.262,0.021,1.71e-06,1.32582625,0.044494786,3,"CA9"
"65",2.36e-10,0.927792223,0.852,0.626,7.73e-06,3.4188746,1.322835145,3,"FAM162A"
"66",3.4e-08,1.024133094,0.82,0.856,0.001114645,7.860616245,3.356815277,3,"LDHA"
"67",1.65e-07,1.040149218,0.377,0.169,0.005399753,1.488285515,0.209996453,3,"EGLN3"
"68",2.72e-07,1.077216979,0.869,0.854,0.008889069,7.832916116,3.18629167,3,"ENO1"
"69",4.76e-07,0.942145718,0.311,0.088,0.015578148,1.187025751,0.138255546,3,"HILPDA"
"70",0.001599156,0.95542846,0.951,0.827,1,40.10732061,20.198569,3,"S100A2"
"71",5.32e-06,-1.830320472,0.016,0.234,0.17404395,0.015149656,2.610035192,3,"SPARCL1"
"72",2.8e-05,-2.028868203,0.656,0.687,0.915265659,3.825461431,18.69196409,3,"SPARC"
"73",5.61e-05,-1.472901852,0.344,0.616,1,4.284889602,13.66977855,3,"VIM"
"74",7.47e-05,-1.580865955,0.082,0.269,1,0.10580975,2.30802274,3,"COL4A2"
"75",0.000105311,-2.20133202,0.967,0.908,1,5.065000933,26.89316786,3,"IGFBP7"
"76",0.000110636,-2.028312339,0.213,0.428,1,0.418825307,4.787776879,3,"MGP"
"77",0.000299212,-1.792220495,0.311,0.532,1,2.156746455,9.933314205,3,"CALD1"
"78",0.000431644,-1.611467772,0.213,0.399,1,0.590790775,3.860860977,3,"THY1"
"79",0.000456619,-1.873465364,0.164,0.309,1,0.205620384,3.41753351,3,"COL4A1"
"80",0.000934983,-1.574560531,0.033,0.175,1,0.026730491,2.058062867,3,"PPP1R14A"
"81",8.21e-71,3.336779699,1,0.249,2.69e-66,13.52665509,0.437787973,4,"ENG"
"82",2.48e-66,3.686739417,1,0.056,8.14e-62,12.63706552,0.059014183,4,"RAMP2"
"83",9.92e-65,4.134168957,0.953,0.08,3.25e-60,18.85381031,0.13066775,4,"VWF"
"84",2.96e-64,3.36060645,0.977,0.241,9.69e-60,13.77521407,0.438435646,4,"HSPG2"
"85",1.25e-58,3.779352249,0.977,0.085,4.1e-54,14.76872303,0.14841309,4,"PLVAP"
"86",3.54e-57,3.358459773,0.977,0.028,1.16e-52,9.785639237,0.051595597,4,"RNASE1"
"87",5.76e-55,2.99588676,1,0.205,1.89e-50,10.13034019,0.395264871,4,"GNG11"
"88",1.81e-46,2.941100991,0.884,0.026,5.92e-42,6.978103821,0.038819432,4,"RAMP3"
"89",3.62e-22,3.408827415,0.442,0.038,1.18e-17,10.02245759,0.037813068,4,"DARC"
"90",7.13e-21,3.840487074,0.442,0.042,2.34e-16,14.01530331,0.048171392,4,"SELE"
"91",2.18e-18,-3.891201439,0.698,0.887,7.15e-14,1.207929918,31.76073499,4,"KRT19"
"92",3.34e-16,-3.355466687,0.651,0.877,1.09e-11,1.218564848,21.70744389,4,"S100P"
"93",1.26e-12,-3.325689648,0.512,0.843,4.11e-08,1.077954363,19.83379304,4,"CLDN4"
"94",2.37e-10,-3.39297214,0.698,0.853,7.77e-06,1.405390722,24.26806702,4,"S100A2"
"95",5.02e-09,-4.184356412,0.512,0.775,0.000164336,1.001276112,35.38511936,4,"SPINK1"
"96",1.52e-06,-4.746656332,0.442,0.736,0.049773892,0.662098384,43.62134556,4,"COL1A1"
"97",3.55e-06,-4.338497874,0.419,0.696,0.116278024,0.632344125,32.02400313,4,"COL1A2"
"98",1.25e-05,-4.019486621,0.419,0.696,0.407919798,0.734675755,27.13224225,4,"COL3A1"
"99",2.85e-05,-3.736896172,0.302,0.624,0.932509798,0.497840957,18.97025177,4,"MMP11"
"100",0.000223406,-3.549704371,0.465,0.688,1,0.918011024,21.46045709,4,"LUM"
"101",8.54e-88,4.619538586,1,0.538,2.8e-83,111.0923498,3.559910229,5,"MMP11"
"102",4.92e-77,3.765310016,1,0.621,1.61e-72,106.5446555,6.908927149,5,"LUM"
"103",2.89e-69,3.324942342,1,0.321,9.46e-65,24.7012051,1.56475632,5,"CTHRC1"
"104",1.48e-64,3.322868269,1,0.67,4.84e-60,189.2060075,18.00820946,5,"COL1A1"
"105",7.36e-61,3.29644087,1,0.626,2.41e-56,138.8798565,13.23729872,5,"COL1A2"
"106",1.78e-60,3.155637948,1,0.626,5.81e-56,113.5192454,11.85099634,5,"COL3A1"
"107",3.59e-59,3.18365091,1,0.349,1.18e-54,36.86220283,3.167076354,5,"DCN"
"108",1.01e-57,3.002882531,0.986,0.232,3.31e-53,13.40172883,0.79662283,5,"CTSK"
"109",1.74e-48,3.078748709,0.971,0.223,5.7e-44,21.98511212,1.720513693,5,"POSTN"
"110",1.51e-30,3.130122274,0.657,0.087,4.94e-26,10.68301636,0.334425371,5,"CHI3L1"
"111",2.76e-33,-3.335396747,0.286,0.836,9.03e-29,0.468199476,13.81970412,5,"ADIRF"
"112",1.74e-30,-3.559115782,0.8,0.883,5.68e-26,1.91933102,33.40994278,5,"KRT19"
"113",1.46e-26,-3.237469976,0.671,0.887,4.79e-22,1.527564919,22.83844331,5,"S100P"
"114",4.82e-26,-3.141256585,0.443,0.738,1.58e-21,0.51643527,12.37939062,5,"KRT17"
"115",6.54e-21,-3.170339769,0.671,0.838,2.14e-16,1.428091614,20.85910801,5,"CLDN4"
"116",2.09e-19,-3.565635083,0.629,0.872,6.85e-15,1.246988813,25.60504658,5,"S100A2"
"117",7.03e-18,-2.884243914,0.386,0.694,2.3e-13,0.452431397,9.723574201,5,"KRT13"
"118",4e-16,-4.134136738,0.529,0.787,1.31e-11,1.18311596,37.33327889,5,"SPINK1"
"119",1.12e-14,-3.09017604,0.529,0.745,3.68e-10,0.768475814,14.06034097,5,"PSCA"
