"","p_val","avg_logFC","pct_in_cluster","pct_out_cluster","p_val_adj","avg_UMI_in_cluster","avg_UMI_out_cluster","cluster","gene"
"1",0,4.508421525,0.921,0.29,0,192.6866604,7.510000761,0,"Mgp"
"2",0,4.160297562,0.519,0.131,0,45.57899247,1.60504802,0,"Igfbp5"
"3",0,3.955500635,0.986,0.199,0,44.59362498,1.938865994,0,"Bgn"
"4",0,3.781903474,0.879,0.095,0,23.66485982,0.793132017,0,"Sfrp1"
"5",0,3.625423504,0.593,0.085,0,15.7922919,0.360657291,0,"Eln"
"6",0,3.527664403,0.956,0.213,0,32.2029503,1.879014654,0,"Fbln1"
"7",0,3.328513919,0.647,0.037,0,10.65600842,0.160292065,0,"Mfap4"
"8",0,3.263539143,0.627,0.105,0,17.93010815,0.971196508,0,"Il11"
"9",0,3.195236339,0.993,0.296,0,81.04174993,7.957213662,0,"Col1a2"
"10",0,3.186807921,0.974,0.309,0,74.19578628,7.257883091,0,"Col1a1"
"11",0,-4.14010134,0.164,0.617,0,0.594064801,27.10610475,0,"Srgn"
"12",0,-4.325492548,0.051,0.389,0,0.146793677,21.99261105,0,"H2-Aa"
"13",0,-4.331278813,0.13,0.457,0,0.332519285,25.82367915,0,"H2-Ab1"
"14",0,-4.820534704,0.133,0.575,0,0.337215748,36.78566097,0,"Cd14"
"15",0,-5.144640613,0.022,0.397,0,0.050674616,36.16716034,0,"Il1b"
"16",0,-5.179579884,0.043,0.415,0,0.079761863,38.13243696,0,"Lyz2"
"17",0,-5.405702721,0.103,0.485,0,0.641199172,68.57287586,0,"Cd74"
"18",4.08e-276,-4.307814269,0.01,0.219,1.14e-271,0.022913984,19.25911297,0,"Ccl3"
"19",6.74e-178,-4.679649616,0.016,0.17,1.89e-173,0.035954394,25.54945071,0,"S100a8"
"20",2.63e-152,-4.981173709,0.011,0.141,7.36e-148,0.019615509,31.2046907,0,"S100a9"
"21",0,3.516174896,0.928,0.163,0,52.62076037,3.686610429,1,"C1qa"
"22",0,3.401592112,0.915,0.146,0,30.22984404,1.955211423,1,"C1qb"
"23",0,2.998775557,0.922,0.145,0,21.39176347,1.801346981,1,"C1qc"
"24",0,2.989320193,0.975,0.352,0,109.030509,12.85600647,1,"H2-Ab1"
"25",0,2.96568932,0.965,0.276,0,92.50070888,10.96887855,1,"H2-Aa"
"26",0,2.96021191,0.992,0.373,0,280.2578801,35.14033056,1,"Cd74"
"27",0,2.746218156,1,0.303,0,44.80848839,5.827346132,1,"Ctss"
"28",0,2.631574896,0.998,0.585,0,215.5176489,33.93898811,1,"Apoe"
"29",0,2.61702953,0.492,0.063,0,8.217876381,0.502541554,1,"Mmp12"
"30",0,2.404412042,0.638,0.072,0,5.908357573,0.30489228,1,"Ms4a7"
"31",0,-4.029084498,0.048,0.516,0,0.113708143,17.18221061,1,"Igfbp7"
"32",0,-4.17034208,0.027,0.436,0,0.036687644,17.66577303,1,"Col1a1"
"33",0,-4.279630629,0.041,0.424,0,0.04642322,19.32378339,1,"Col1a2"
"34",0,-4.761894889,0.057,0.515,0,0.114021552,29.22503347,1,"Sparc"
"35",0,-4.963529329,0.063,0.476,0,0.068994661,32.35390969,1,"Col3a1"
"36",0,-5.364610465,0.049,0.471,0,0.062565965,42.77887186,1,"Dcn"
"37",1.87e-280,-4.948735046,0.11,0.401,5.23e-276,0.162100747,34.88900929,1,"Mgp"
"38",1.83e-105,-4.51782627,0.072,0.206,5.12e-101,0.109230537,24.41107508,1,"Psca"
"39",3.12e-95,-3.229721483,0.035,0.154,8.73e-91,0.034495348,8.704464732,1,"Ltf"
"40",7.9e-69,-3.193326895,0.2,0.116,2.21e-64,2.384400449,29.95771698,1,"S100a9"
"41",0,3.766323736,0.609,0.096,0,22.10274402,0.69780242,2,"Sfrp2"
"42",0,3.691100882,0.866,0.175,0,27.85152372,1.233760833,2,"Thbs2"
"43",0,3.556517865,0.555,0.041,0,13.70770229,0.250046801,2,"S100g"
"44",0,3.395574766,0.946,0.19,0,26.04019976,1.569449216,2,"Col12a1"
"45",0,3.210320368,0.924,0.227,0,21.95527832,1.480160785,2,"Htra1"
"46",0,3.1545836,0.76,0.122,0,12.00603539,0.460564174,2,"Enpp2"
"47",0,2.837327112,0.512,0.044,0,7.673568665,0.213604709,2,"Nppc"
"48",0,2.680627137,0.543,0.049,0,6.643403535,0.19216842,2,"Angptl7"
"49",0,2.557302847,0.517,0.095,0,7.681901616,0.474993121,2,"Nov"
"50",0,2.49010151,0.916,0.343,0,19.51364839,2.651301206,2,"Vcan"
"51",0,-4.436334106,0.054,0.454,0,0.197854125,24.93424261,2,"H2-Ab1"
"52",0,-4.632153378,0.191,0.673,0,1.366082239,57.67416891,2,"Apoe"
"53",0,-4.67005317,0.033,0.615,0,0.069300006,26.22235259,2,"Srgn"
"54",0,-4.807929303,0.161,0.557,0,0.30294221,35.49690951,2,"Cd14"
"55",0,-5.140317195,0.007,0.385,0,0.017617091,34.89004933,2,"Il1b"
"56",0,-5.172968849,0.2,0.649,0,2.372650215,120.6718445,2,"Cxcl2"
"57",0,-5.221920592,0.012,0.405,0,0.01257222,36.79033496,2,"Lyz2"
"58",0,-5.458207521,0.056,0.476,0,0.528028369,66.17622639,2,"Cd74"
"59",4.58e-148,-4.658682998,0.01,0.165,1.28e-143,0.015389729,24.64697148,2,"S100a8"
"60",2.43e-132,-4.947058327,0.004,0.137,6.8e-128,0.008205601,30.10011912,2,"S100a9"
"61",0,4.622593032,0.782,0.081,0,41.56040542,0.727693088,3,"Krt14"
"62",0,3.982004509,0.987,0.151,0,33.30444647,1.170938977,3,"Sfn"
"63",0,3.945756865,0.775,0.091,0,36.71845272,1.447725414,3,"Krt15"
"64",0,3.776688427,0.938,0.049,0,17.54707701,0.353252924,3,"Krt5"
"65",0,3.599463375,0.913,0.068,0,25.75959661,1.207664724,3,"Sprr2a3"
"66",0,3.259620105,0.938,0.155,0,29.34351511,2.168272032,3,"Wfdc2"
"67",0,3.207539714,0.58,0.309,0,18.36474152,1.0962643,3,"Gstm1"
"68",0,3.166134816,0.969,0.183,0,21.70950323,1.529915899,3,"Gsta4"
"69",0,3.02673069,0.825,0.169,0,38.33469336,3.826574815,3,"Ly6d"
"70",0,3.016244861,0.632,0.035,0,10.11361461,0.373647041,3,"Krt17"
"71",0,-4.433509683,0.311,0.446,0,0.518590755,31.81407393,3,"Col3a1"
"72",0,-4.703541717,0.287,0.442,0,0.652790617,42.06505253,3,"Dcn"
"73",0,-4.907374001,0.205,0.666,0,0.935197866,57.07539211,3,"Apoe"
"74",0,-5.049038396,0.026,0.379,0,0.07196096,34.48877226,3,"Il1b"
"75",0,-5.064550381,0.029,0.399,0,0.116495174,36.36271518,3,"Lyz2"
"76",0,-5.246854516,0.156,0.462,0,0.748920577,65.40957178,3,"Cd74"
"77",1.38481659872843e-319,-4.254648168,0.055,0.372,3.87720951311986e-315,0.151370742,20.97818925,3,"H2-Aa"
"78",9.89e-154,-4.606094461,0.266,0.381,2.77e-149,0.450548282,34.32683945,3,"Mgp"
"79",1.1e-90,-4.541430332,0.03,0.161,3.09e-86,0.089044925,24.36019267,3,"S100a8"
"80",3.26e-47,-4.741391371,0.054,0.131,9.12e-43,0.149402771,29.74491265,3,"S100a9"
"81",0,2.164351783,0.844,0.386,0,20.77559827,3.857751426,4,"Mmp19"
"82",0,2.106141142,0.959,0.295,0,109.5763722,24.68329137,4,"Il1b"
"83",0,2.090964797,0.997,0.312,0,114.5241136,26.11624326,4,"Lyz2"
