"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"1","ADIPOQ","PMP2","POU2AF1","DEFA4","HBBP1","COMP","SPINK2","CCL18","ESRG","CDH5","ADAM8","KRT6A","HBBP1","HBG2","COL3A1","NLRP4","DNTT","APOH","SPINK2","ESRG","KRTDAP","PLA2G7","TYRP1","CA1","KRT19","FCN1","GREM1","CEACAM8","ANKRD1","DLK1","DLK1","FCGR3B","GNLY","COMP","CLDN11","PF4V1","CKM","POSTN","CD3D","POSTN"
"2","FABP4","LINC00461","HLA-DOB","HBM","HBD","DPT","PRG2","CCL13","L1TD1","ECSCR","PRSS33","KRT5","ALAS2","HBB","COL1A1","TUBBP5","IGLL1","GC","MPO","LIN28B","SPRR1A","FBP1","TYR","KLF1","RPPH1","CD14","POSTN","BPI","CCDC80","FOXG1","SOX11","S100A12","GZMB","VCAM1","COL3A1","FAM81B","ACTA1","COL3A1","CD2","CTHRC1"
"3","ADH1B","GPM6A","MS4A1","PRG3","AHSP","SCRG1","IGLL1","MRC1","LIN28A","ESM1","ALOX15","S100A2","SPTA1","GYPA","SULF1","DPPA5","SPINK2","APOC3","SELL","LIN28A","SPRR1B","MRC1","MLANA","HBD","LRRN4","MPEG1","RGS4","DEFA4","H19","SFRP2","STMN2","CXCR2","GZMH","COL15A1","MMP3","PF4","MB","COL1A2","ITK","SRPX"
"4","GPD1","C1ORF61","VPREB3","CRISP3","KLF1","PENK","CLC","FPR3","NTS","HHIP","SIGLEC10","KRT17","EPB42","AHSP","COL1A2","BTG4","C1QTNF4","ALB","CD69","L1TD1","KRT6C","ADAMDEC1","PMEL","AHSP","CDH6","FGL2","ACTG2","LTF","PDLIM3","DCX","TMSB15A","TREM1","KLRF1","ITGBL1","SCARNA2","ELOVL7","TTN","COL1A1","KLRB1","SNAI2"
"5","CIDEC","LHFPL3","CD79A","S100A12","CA1","ASPN","CPA3","MMP12","LIN28B","EDN1","ATG16L2","SPRR1B","CA3","ALAS2","CCDC80","BCAR4","AZU1","FGG","MS4A3","SLC7A3","KRT14","CHI3L1","DCT","NMU","FN1","MNDA","COL1A1","CEACAM6","PLAT","FGFBP3","NEFM","CSF3R","CD247","MFAP5","RPPH1","TUBB1","DES","CCDC80","CD3G","COL3A1"
"6","LIPE","SCRG1","CD19","CEACAM8","SPTA1","PRELP","AZU1","CCL22","LEFTY1","TIE1","SNORA74A","KRT14","GYPB","GYPB","COL6A2","OOEP","PRTN3","CPB2","PLAC8","DNMT3B","KRT1","C15ORF48","ABCB5","IGLL1","COL1A1","C5AR1","COL3A1","TCN1","COL3A1","SOX11","KIF5C","IL1R2","IL2RB","TM4SF20","COL1A1","PPBP","MYL1","COL6A3","TRAT1","COL1A1"
"7","PLIN1","GFAP","TCL1A","FCGR3B","UCA1","OGN","ELANE","C1QC","DNMT3B","MMP1","CLC","KRT19","CA1","RHAG","RPPH1","GDF9","CPA3","UGT2B4","CSF3R","USP44","KRT6B","CCL22","S100B","XK","ITGA3","S100A8","LOX","S100P","STC2","LIN28B","ZNF423","S100A9","GZMA","POSTN","STC2","CLEC1B","MYBPC1","LUM","GZMK","LUM"
"8","LPL","GRIA2","NAPSB","LTF","RHAG","GXYLT2","C1QTNF4","PLA2G7","ZIC2","MMRN1","CCR3","S100A14","RHCE","SLC4A1","DCN","NLRP11","ELANE","TF","HLA-DRA","ZIC2","FLG2","EGR2","TRPM1","MYB","HIST1H4D","FPR1","COL1A2","ARG1","RPPH1","LHX2","TUBB2B","TNFRSF10C","KLRB1","ABI3BP","COL1A2","ALOX12","TNNC1","MIR100HG","GZMA","COL6A3"
"9","RBP4","SCG2","IGLL3P","HBD","HBG2","CRLF1","CTSG","FBP1","SLC7A3","FABP4","DAPK2","SERPINB5","AHSP","HBD","FN1","PCP4L1","CTSG","TDO2","RPL10","POU5F1P3","LOR","C5AR1","LINC00473","KCNH2","HIST1H2BO","TYROBP","COL6A3","MS4A3","TPM2","STMN2","TCEAL7","FCAR","KLRD1","COL11A1","COL6A1","CCL5","NEB","LRRC17","IL7R","HOXC6"
"10","GPX3","GAP43","GPR18","IGLL1","KCNH2","COX7A1","PRTN3","C15ORF48","SFRP2","GNG11","OLIG1","FGFBP1","HBD","HEMGN","COL6A3","ACTL8","FLT3","CYP2C8","PTMA","ZIC3","PI3","ACP5","HIST1H2BO","CYTL1","HIST1H3F","HCK","LOXL1","CAMP","FN1","LIN28A","NELL2","VNN2","CCL5","LUM","TGM2","CX3CR1","CMYA5","FN1","GPR171","DCN"
