"","B_cells","B_cells_pro","Basophils","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Fibroblasts","ILC","Macrophages","Mast_cells","Microglia","Monocytes","Neutrophils","NK_cells","NKT","Stem_cells","Stromal_cells","T_cells","Tgd"
"1","MS4A1","DNTT","MCPT8","APOL7C","MMRN1","CCR3","SKINT10","DPT","KLRB1B","MRC1","MCPT4","FCRLS","CLEC4A1","IL1F9","KLRA8","ART2B","MPO","ASPN","CD8B1","TRDJ1"
"2","IGKV2-109","RAG1","CPA3","GM6377","CDH5","F5","REG3G","C1S1","NCR1","C1QC","MRGPRB1","C1QC","MS4A4A","FPR2","KLRA7","TCRG-V4","ADGRL4","SPARCL1","CD8A","TRDV5"
"3","IGKV1-117","S100A9","CD200R3","ADAM23","SEMA3D","EAR1","SKINT9","LEPR","KLRI2","C1QB","MRGPRB2","P2RY13","LOC100038947","S100A8","GZMA","CXCR6","PRTN3","MYL9","THEMIS","TRDC"
"4","IGKV1-135","NGP","MS4A2","DNASE1L3","ADGRF5","RETNLG","FCGBP","INMT","XCL1","C1QA","RGS13","C1QA","ADGRE4","MMP8","KLRA13-PS","TRAC","CAR2","DPT","TRAV14D-3-DV8","CCR9"
"5","IGKV10-96","HIST1H3H","FCER1A","FLT3","KDR","ADGRE4","KRT17","LUM","TRGJ4","CD36","A530099J19RIK","TMEM119","SERPINB10","CLEC4D","NCR1","CD3G","FLT3","NPY1R","TRAJ49","TCRG-V4"
"6","IGKV12-44","S100A8","DNASE2B","KMO","GLYCAM1","GM14548","4833423E24RIK","DSC3","KLRC1","CLEC4A3","TPSB2","C1QB","CLEC4A3","S100A9","KLRG1","CXCR3","ANGPT1","C1S1","TRAC","TRGJ4"
"7","IGHV1-82","FLT3","CXCR2","H2-AB1","MMRN2","F630111L10RIK","SYT1","SERPING1","TCRG-C4","C3AR1","MRGPRX2","IL1A","KLRA2","CXCR2","KLRI2","KLRB1C","UHRF1","POSTN","CD3G","TCRG-C4"
"8","CD19","DRC7","CYP11A1","H2-AA","STAB2","LILRA6","SKINT4","VTN","KLRB1C","CLEC4A1","CMA1","SIGLECH","EAR2","STFA2L1","EOMES","TRGJ4","MUC13","SERPING1","TCF7","CD3G"
"9","FCMR","LY6D","HRH4","H2-EB1","F8","INPP5J","ALOX12E","HMGCS2","KLRB1A","TLR8","TPH1","HPGDS","TREML4","NGP","NA.94","TCRG-C4","HIST1H1A","OLFR558","LEF1","GZMA"
"10","IGHV8-12","HIST1H1A","CDH1","KYNU","PLVAP","PRG4","LOC328448","PDGFRA","IFNG","LPL","FCER1A","SALL1","IFITM6","RETNLG","GZMB","KLRC1","ADGRG1","BGN","CD28","ITGAE"
"11","CD79A","LCN2","FAR2","PLBD1","PROX1","9830107B12RIK","DAPL1","CXCL12","IL2RA","DAB2","CPA3","OLFML3","GPR141","LY6G","PRF1","TRBV29","KIT","EPHX3","TRAJ41","TRAV15-1-DV6-1"
"12","IGKV19-93","RAG2","C3AR1","TBC1D9","LYVE1","GAPT","TBATA","POSTN","TRDV4","MERTK","OLFR920","SLC2A5","F13A1","FPR1","KLRC3","CD226","DTL","ENPP2","CD5","PDCD1"
"13","IGKV9-120","CHIL3","MRGPRA6","SHTN1","PTPRB","ALOX15","CBR2","ABCA8A","CXCR6","MSR1","TPSAB1","CCL12","MS4A4C","SLFN4","KLRB1A","CD28","HELLS","PRRX1","TRAV7-5","LEF1"
"14","IGKV6-15","LTF","HGF","ITGAX","CPE","EAR2","HAMP","DCN","KLRC3","CLEC7A","MS4A2","GPR84","GM9733","MIRT2","KLRB1C","IL2RB","MTFR2","GLYCAM1","CD3D","CD3D"
"15","PAX5","OLFR503","DEFB40","CXCL16","EMCN","IL5RA","2210407C18RIK","ENPP2","KLRK1","MS4A8A","MRGPRA4","GPR165","ACE","CHIL1","KLRK1","ICOS","MYB","PI15","CD2","THEMIS"
