"","Adipocytes","Astrocytes","B_cells","Cardiomyocytes","Dendritic_cells","Endothelial_cells","Epithelial_cells","Erythrocytes","Fibroblasts","Granulocytes","Hepatocytes","Macrophages","Microglia","Monocytes","Neurons","NK_cells","Oligodendrocytes","T_cells"
"1","Cidec","Slc1a2","Ms4a1","Myh6","Itgax","Emcn","1500015o10rik","Beta-s","Bgn","S100a9","Alb","Msr1","Slco2b1","Ms4a6c","Syt1","Gzma","Plp1","Lat"
"2","Adipoq","Nwd1","Fcer2a","Mb","Chi3l3","Eltd1","Calml4","Slc4a1","Col1a1","Ltf","Hpx","Cd5l","P2ry12","Lyz1","Snap25","Klra7","Cldn11","Cd3g"
"3","Cfd","Ntsr2","Faim3","Actc1","S100a9","Ly6c1","Clic6","Rhd","Col1a2","S100a8","Serpina1a","C3ar1","Cx3cr1","Chi3l3","Myt1l","Nkg7","Mal","Cd3d"
"4","Car3","Bcan","Pou2af1","Myh7","Mmp12","Car4","Mt3","Gypa","Lox","Retnlg","Gc","C1qc","Siglech","F13a1","Snhg11","Klrb1c","Ugt8a","Cd3e"
"5","Plin1","Nrxn1","Spib","Tnnt2","S100a8","Esam","Rsph1","Hemgn","Fbln2","Ngp","Sprr1a","Emr1","Havcr2","Lyz2","Gria2","Ccl5","Mobp","Ms4a4b"
"6","Fabp4","Utp14b","Cd22","Myl3","Ccl5","Apold1","1700027a23rik","Alas2","Col5a2","Mmp8","Krt8","Lyz1","Cd180","Ccr2","Nrxn1","Eomes","Mog","Cd5"
"7","Aoc3","Ptprz1","Ly6d","Myl2","Clec4n","Ptprb","Otx2","Trim10","Col8a1","Camp","Ambp","Ccl9","Olfml3","Plac8","Grin1","Klra9","Mag","Lck"
"8","Scd1","Slc6a11","Blk","D830015g02rik","Mmp9","Tek","Spag6","Ermap","Col3a1","Mmp9","Serpina1e","Mafb","Tmem119","S100a4","Grm5","Prf1","Olig1","Cd6"
"9","Lox","Trim9","Cd19","Tnni3","Ccl6","Cldn5","Ttr","Tspo2","Postn","Cxcr2","Mup3","Cybb","Il1a","Lst1","Arpp21","Klre1","Tubb4","Bcl11b"
"10","Tusc5","Ncan","H2-ob","Ckm","Ngp","Flt1","Folr1","Cldn13","Fbn1","Cd177","Serpina3k","Ccl6","Mertk","Ly6c2","Trank1","Ncr1","Ermn","Skap1"
